Basin,Region,Site,Reference,Indicator,Latitude (°N),Longitude (°E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.23,0.10,0.05,-1050,220,219
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,-1035,188,202
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.18,0.10,0.05,-986,166,181
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,-887,160,125
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.13,0.10,0.05,-875,153,118
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,-863,153,118
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.07,0.10,0.05,-860,126,173
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.09,0.10,0.05,-853,110,146
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.12,0.10,0.05,-844,156,114
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.07,0.10,0.05,-799,165,169
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.10,0.10,0.05,-799,169,165
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,-784,144,201
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.06,0.10,0.05,-674,197,137
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,-662,140,205
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,-581,168,188
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.03,0.10,0.05,-557,168,173
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.04,0.10,0.05,-536,156,187
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.12,0.10,0.05,-401,487,487
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.01,0.10,0.05,-273,181,131
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.01,0.10,0.05,-240,164,137
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.06,0.10,0.05,-54,186,215
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.12,0.10,0.05,-1,150,168
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.13,0.10,0.05,5,144,166
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.05,0.10,0.05,28,189,195
