Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.91,0.04,0.04,1.336,33,33,"Barn Island,
 Connecticut",0.0165,0.0165,0.0165,0.04
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.78,0.04,0.04,1.413,27,27,"Barn Island,
 Connecticut",0.0135,0.0135,0.0135,0.04
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.82,0.04,0.04,1.441,41,41,"Barn Island,
 Connecticut",0.0205,0.0205,0.0205,0.04
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.69,0.04,0.04,1.561,82,82,"Barn Island,
 Connecticut",0.041,0.041,0.041,0.04
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.63,0.05,0.05,1.57,86,86,"Barn Island,
 Connecticut",0.043,0.043,0.043,0.05
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.53,0.05,0.05,1.655,27,27,"Barn Island,
 Connecticut",0.0135,0.0135,0.0135,0.05
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.47,0.05,0.05,1.713,13,13,"Barn Island,
 Connecticut",0.0065,0.0065,0.0065,0.05
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.42,0.05,0.05,1.789,9,9,"Barn Island,
 Connecticut",0.0045,0.0045,0.0045,0.05
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.4,0.05,0.05,1.825,25,25,"Barn Island,
 Connecticut",0.0125,0.0125,0.0125,0.05
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.32,0.05,0.05,1.875,25,25,"Barn Island,
 Connecticut",0.0125,0.0125,0.0125,0.05
