Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.91,0.04,0.04,1.336,"Barn Island,
 Connecticut",0.0165,0.0165,0.0165,0.04,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.01156580594482657
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.78,0.04,0.04,1.413,"Barn Island,
 Connecticut",0.0135,0.0135,0.0135,0.04,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.006949664271719354
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.82,0.04,0.04,1.441,"Barn Island,
 Connecticut",0.0205,0.0205,0.0205,0.04,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.0046553467082421154
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.69,0.04,0.04,1.561,"Barn Island,
 Connecticut",0.041,0.041,0.041,0.04,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.00492348942621378
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.63,0.05,0.05,1.57,"Barn Island,
 Connecticut",0.043,0.043,0.043,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.005590601586888131
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.53,0.05,0.05,1.655,"Barn Island,
 Connecticut",0.0135,0.0135,0.0135,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.009459811496388438
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.47,0.05,0.05,1.713,"Barn Island,
 Connecticut",0.0065,0.0065,0.0065,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.008890206681888441
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.42,0.05,0.05,1.789,"Barn Island,
 Connecticut",0.0045,0.0045,0.0045,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.009178912698226405
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.4,0.05,0.05,1.825,"Barn Island,
 Connecticut",0.0125,0.0125,0.0125,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.01176344355183272
Connecticut,Barn Island,Donnelly et al. (2004b),41.3_-71.9,41.3,-71.9,-0.32,0.05,0.05,1.875,"Barn Island,
 Connecticut",0.0125,0.0125,0.0125,0.05,01,ProxyData,1,1.501415197664154e-12,0.9859690070152283,0.01792281536709941
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,0.05,0.07,0.07,2.002,"Nassau,
 Florida",0.003,0.0055,0.00425,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.01906548491549391
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,0.03,0.07,0.07,1.99,"Nassau,
 Florida",0.005,0.006,0.0055,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.01890786876484795
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,0.01,0.07,0.07,1.98,"Nassau,
 Florida",0.005,0.0035,0.00425,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.01865900141162808
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.01,0.07,0.07,1.974,"Nassau,
 Florida",0.0035,0.0055,0.0045,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.01845839930034429
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.03,0.07,0.07,1.964,"Nassau,
 Florida",0.0055,0.0135,0.0095,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.018038592949284973
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.05,0.07,0.07,1.936,"Nassau,
 Florida",0.014,0.0075,0.01075,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.01629476299850243
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.07,0.07,0.07,1.92,"Nassau,
 Florida",0.01,0.0075,0.00875,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.014922222945665552
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.09,0.07,0.07,1.906,"Nassau,
 Florida",0.014,0.0055,0.00975,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.013496892964769002
