Site	ID	lat	long	RSL_class	-930	-880	-830	-780	-730	-680	-630	-580	-530	-480	-430	-380	-330	-280	-230	-180	-130	-80	-30	20	70	120	170	220	270	320	370	420	470	520	570	620	670	720	770	820	870	920	970	1020	1070	1120	1170	1220	1270	1320	1370	1420	1470	1520	1570	1620	1670	1720	1770	1820	1870	1920	1970	2020
Big River Marsh	31000	48.6	-58.8	RSLs	99.898	105.769	110.421	113.264	113.775	111.055	102.823	87.624	66.482	38.698	3.798	-35.471	-77.454	-113.003	-132.655	-146.029	-160.651	-176.624	-193.194	-208.1	-220.818	-230.612	-235.088	-232.214	-217.136	-185.624	-136.688	-72.695	-18.344	-2.636	-38.249	-103.116	-165.974	-200.081	-207.081	-198.094	-181.546	-164.149	-150.844	-149.797	-162.108	-176.534	-181.785	-178.746	-172.189	-163.537	-154.369	-146.875	-136.16	-112.215	-71.909	-23.055	38.397	125.074	258.45	471.151	761.105	1020.549	1024.937	740.676
Big River Marsh	31000	48.6	-58.8	SDs	592.638	588.746	586.941	587.142	587.928	587.165	583.625	577.057	567.981	558.41	550.306	541.956	532.407	522.787	515.359	509	502.416	494.053	482.935	469.947	457.43	448.046	440.603	432.534	423.474	414.548	405.708	398.235	390.125	381.494	374.151	365.432	355.37	346.426	339.616	334.075	327.869	320.501	311.351	301.52	292.084	282.898	275.311	269.777	262.732	254.06	245.991	238.373	231.084	225.256	218.817	211.575	207.738	207.261	206.125	203.733	201.094	195.508	190.903	199.492
Barn Island	32000	41.3	-71.9	RSLs	38.369	66.494	96.729	125.796	151.703	174.307	194.525	212.97	227.031	232.325	223.802	201.977	174.816	148.767	124.371	102.065	82.99	67.056	52.554	37.639	22.896	9.109	-2.827	-13.596	-26.583	-45.723	-70.722	-100.468	-132.971	-165.578	-196.034	-220.557	-239.857	-257.894	-275.527	-293.275	-312.194	-334.404	-357.603	-373.924	-377.438	-368.182	-352.335	-329.679	-301.149	-276.376	-263.488	-263.401	-277.083	-306.038	-337.647	-359.894	-369.2	-367.138	-352.95	-348.902	-379.229	-427.91	-444.232	-430.153
Barn Island	32000	41.3	-71.9	SDs	605.001	606.015	605.322	602.239	597.183	590.976	584.77	578.582	571.643	564.018	556.715	550.1	544.663	540.78	537.442	534.132	530.471	525.833	519.493	511.242	501.912	492.831	485.096	477.929	471	466.223	462.556	458.057	451.724	443.997	436.925	430.714	424.386	418.34	412.582	406.212	399.479	394.678	390.164	383.416	374.29	364.58	355.804	347.339	340.059	335.264	332.015	327.533	318.601	303.718	283.97	263.208	244.965	228.443	214.039	206.058	202.844	198.117	192.002	195.251
East River Marsh	33000	41.3	-72.6	RSLs	12.441	28.949	46.725	63.713	78.685	91.587	103.055	113.539	121.454	124.125	118.49	105.092	89.38	76.035	65.893	60.107	60.038	64.615	70.716	74.881	76.533	74.486	65.938	50.069	27.644	-0.716	-33.02	-69.112	-107.545	-145.165	-179.025	-202.998	-215.773	-220.287	-217.349	-209.473	-200.635	-197.419	-198.082	-195.09	-185.954	-174.21	-165.26	-157.048	-146.701	-137.105	-130.814	-129.974	-141.148	-171.179	-205.027	-225.501	-231.747	-228.212	-208.581	-187.632	-216.88	-307.388	-359.408	-349.069
East River Marsh	33000	41.3	-72.6	SDs	632.148	631.212	629.345	626.246	622.047	617.047	611.696	606.03	599.83	593.256	586.905	581.187	576.561	573.487	571.934	571.425	570.421	567.478	561.293	551.583	539.227	525.588	512.752	500.393	488.283	478.534	469.837	460.365	449.29	437.015	425.101	414.018	403.15	393.436	386.462	381.366	376.708	372.96	367.164	356.469	340.811	322.979	306.543	291.68	278.518	269.135	263.336	257.484	248.612	237.797	227.649	220.941	215.65	208.385	200.046	195.691	195.634	193.992	190.6	196.024
Little Manatee River	34000	27.7	-82.5	RSLs	-9.668	-10.991	-12.644	-14.73	-17.383	-20.796	-25.184	-30.762	-37.781	-46.504	-57.246	-70.501	-87.17	-107.66	-127.324	-139.389	-141.128	-132.084	-114.565	-92.683	-68.566	-43.204	-18.256	4.137	21.815	34.114	42.699	49.199	55.28	62.466	71.718	83.677	98.971	118.233	142.353	172.333	207.815	247.182	288.787	330.458	369.602	403.817	431.597	451.445	467.126	485.93	514.498	558.892	622.293	695.272	771.381	846.384	912.352	962.541	995.825	1009.629	998.791	958.421	886.713	797.068
Little Manatee River	34000	27.7	-82.5	SDs	639.571	635.508	630.825	625.546	619.765	613.675	607.594	601.996	597.501	594.807	594.495	596.606	599.889	600.713	595.443	584.77	571.895	560.257	549.862	538.618	525.877	513.8	504.409	497.1	491.46	487.252	482.552	476.84	471.319	467.616	464.163	458.193	448.001	433.62	416.875	400.738	385.723	370.901	357.565	344.164	327.875	309.639	292.782	283.545	277.116	268.092	257.908	246.796	237.498	229.871	220.619	213.199	208.341	207.325	213.477	220.871	221.563	214.733	205.71	206.136
Cedar Island	35000	35	-76.4	RSLs	130.923	119.475	105.653	91.016	76.327	61.804	47.739	33.564	18.928	3.435	-13.403	-31.92	-52.116	-71.913	-86.699	-94.503	-96.743	-96.157	-94.53	-93.174	-93.94	-98.638	-106.329	-115.701	-126.188	-137.919	-151.973	-166.74	-174.551	-172.77	-155.886	-127.41	-100.356	-88.356	-88.437	-96.277	-107.385	-117.572	-126.178	-128.859	-122.42	-110.727	-97.266	-83.678	-71.249	-60.497	-49.495	-35.383	-15.412	11.61	41.03	68.658	91.362	109.277	126.158	144.571	175.751	234.644	299.358	335.271
