Basin,Region,Site,Reference,Indicator,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,SiteName,RSL_offset,Age_epoch_id,RSL_old,min_TG_Age,max_Age_proxy,Age_diff,No_TG,data_lm_slope,data_lm_slope_err,ICE6_GIA_slope,ICE5_GIA_slope,GIA_slope,sd_GIA_slope,SL
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.91,0.04,0.04,1.336,33,33,0.0165,0.0165,0.0165,0.04,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-1.0361267830016
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.78,0.04,0.04,1.413,27,27,0.0135,0.0135,0.0135,0.04,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.8915006349728001
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.82,0.04,0.04,1.441,41,41,0.0205,0.0205,0.0205,0.04,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.9261820356895999
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.69,0.04,0.04,1.561,82,82,0.041,0.041,0.041,0.04,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.7733880387616
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.63,0.05,0.05,1.57,86,86,0.043,0.043,0.043,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.711678488992
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.53,0.05,0.05,1.655,27,27,0.0135,0.0135,0.0135,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.595532741168
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.47,0.05,0.05,1.713,13,13,0.0065,0.0065,0.0065,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.5245156426527999
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.42,0.05,0.05,1.789,9,9,0.0045,0.0045,0.0045,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.4600794445984
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.4,0.05,0.05,1.825,25,25,0.0125,0.0125,0.0125,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.43324124552000004
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.3_-71.9,41.3,-71.9,-0.32,0.05,0.05,1.875,25,25,0.0125,0.0125,0.0125,0.05,01,ProxyData,"Barn Island,
 Connecticut",NA,NA,NA,1.939,2.01,0.07099999999999973,FALSE,1.13,2.1018945264276947e-14,0.9100111722946167,0.9859690070152283,-0.1899499744,0.5965734124,-0.3437437468
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-2.03,0.32,0.32,0.243,160,160,0.08,0.08,0.08,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-2.3676954089607
