RSL,upr,lwr,Age,SiteName,ID
-0.9643465279404677,-0.9249973777022362,-1.0030486713049334,1.336,"Barn Island,
 Connecticut",GIA and y offset Component
-0.8773365279404678,-0.837987377702237,-0.9160386713049316,1.413,"Barn Island,
 Connecticut",GIA and y offset Component
-0.8456965279404678,-0.8063473777022371,-0.8843986713049308,1.441,"Barn Island,
 Connecticut",GIA and y offset Component
-0.7100965279404678,-0.6707473777022382,-0.7487986713049282,1.561,"Barn Island,
 Connecticut",GIA and y offset Component
-0.6999265279404677,-0.660577377702238,-0.7386286713049279,1.57,"Barn Island,
 Connecticut",GIA and y offset Component
-0.6038765279404679,-0.5645273777022386,-0.6425786713049261,1.655,"Barn Island,
 Connecticut",GIA and y offset Component
-0.5383365279404677,-0.49898737770223917,-0.5770386713049246,1.713,"Barn Island,
 Connecticut",GIA and y offset Component
-0.4524565279404679,-0.4131073777022398,-0.49115867130492274,1.789,"Barn Island,
 Connecticut",GIA and y offset Component
-0.41177652794046793,-0.3724273777022402,-0.45047867130492186,1.825,"Barn Island,
 Connecticut",GIA and y offset Component
-0.3552765279404679,-0.31592737770224044,-0.3939786713049208,1.875,"Barn Island,
 Connecticut",GIA and y offset Component
-1.8815646081069477,-1.8447039438938035,-1.9170999617839435,0.243,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.8015246081069476,-1.7646639438938037,-1.8370599617839432,0.33,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.3534846081069476,-1.3166239438938037,-1.3890199617839434,0.817,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.3249646081069477,-1.2881039438938038,-1.3604999617839435,0.848,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.2173246081069478,-1.1804639438938038,-1.2528599617839435,0.965,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.1869646081069476,-1.1501039438938037,-1.2224999617839434,0.998,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.8879646081069477,-0.8511039438938036,-0.9234999617839433,1.323,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.8576046081069475,-0.8207439438938035,-0.8931399617839431,1.356,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.8566846081069477,-0.8198239438938036,-0.8922199617839432,1.357,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.7389246081069476,-0.7020639438938036,-0.7744599617839433,1.485,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.6874046081069476,-0.6505439438938035,-0.7229399617839433,1.541,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.5080046081069476,-0.47114394389380354,-0.5435399617839433,1.736,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.44728460810694753,-0.41042394389380343,-0.48281996178394315,1.802,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.44084460810694776,-0.40398394389380365,-0.4763799617839433,1.809,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.44084460810694776,-0.40398394389380365,-0.4763799617839433,1.809,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.43440460810694753,-0.3975439438938035,-0.4699399617839431,1.816,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.09902414679446699,-0.03588398505401924,-0.16360904081094838,2.002,"Nassau,
 Florida",GIA and y offset Component
-0.10406414679446692,-0.04092398505401918,-0.16864904081094834,1.99,"Nassau,
 Florida",GIA and y offset Component
