RSL,upr,lwr,Age,SiteName,ID
0.09852675158857671,0.1636857929287021,0.03260370163892164,1.336,"Barn Island,
 Connecticut",Local Component
0.08636346320687419,0.14672126964356055,0.025059844903742044,1.413,"Barn Island,
 Connecticut",Local Component
0.07905128755604525,0.13652140111259678,0.019930183137536684,1.441,"Barn Island,
 Connecticut",Local Component
0.03428890170918614,0.08987100657595103,-0.022779160288472548,1.561,"Barn Island,
 Connecticut",Local Component
0.03113473823619347,0.08702284292153555,-0.025940016608290827,1.57,"Barn Island,
 Connecticut",Local Component
0.0073671007116397225,0.06589478901950106,-0.05079933726996623,1.655,"Barn Island,
 Connecticut",Local Component
-0.002600022106989055,0.055890128620445775,-0.06112855292097734,1.713,"Barn Island,
 Connecticut",Local Component
-0.007985191999054932,0.049921709141710624,-0.06521837079396,1.789,"Barn Island,
 Connecticut",Local Component
-0.007497334719823479,0.048834403780631745,-0.06446765453866903,1.825,"Barn Island,
 Connecticut",Local Component
-0.003579049044092635,0.052484463169720136,-0.05970824540216857,1.875,"Barn Island,
 Connecticut",Local Component
-0.008994849755850926,0.06662559512404044,-0.08619631624937074,0.243,"East River Marsh,
 Connecticut",Local Component
-0.016901212859932166,0.05601997755645462,-0.09207593190181848,0.33,"East River Marsh,
 Connecticut",Local Component
-0.10396161259934121,-0.032260246155530685,-0.17700330264542308,0.817,"East River Marsh,
 Connecticut",Local Component
-0.10292942672248367,-0.03150274356188587,-0.1754090673175687,0.848,"East River Marsh,
 Connecticut",Local Component
-0.08959241440056653,-0.02650715007526649,-0.154684343205523,0.965,"East River Marsh,
 Connecticut",Local Component
-0.08313176435137894,-0.020877956534582045,-0.14569989720903712,0.998,"East River Marsh,
 Connecticut",Local Component
-0.038280245057314324,0.02758783447285932,-0.10520754283622442,1.323,"East River Marsh,
 Connecticut",Local Component
-0.03728917714360589,0.02729444897818183,-0.10383209581735586,1.356,"East River Marsh,
 Connecticut",Local Component
-0.03726944543151721,0.027260241973531933,-0.1038238979143207,1.357,"East River Marsh,
 Connecticut",Local Component
-0.039746266142348316,0.0167848601129597,-0.09756367147785594,1.485,"East River Marsh,
 Connecticut",Local Component
-0.043248510651520314,0.01223810064684198,-0.09745859434351636,1.541,"East River Marsh,
 Connecticut",Local Component
-0.029288322445868244,0.026343936781431748,-0.08542072121830988,1.736,"East River Marsh,
 Connecticut",Local Component
-0.014516654608944333,0.040694705655544575,-0.06962776394630013,1.802,"East River Marsh,
 Connecticut",Local Component
-0.01265193319018616,0.04249924589554174,-0.06748826211739165,1.809,"East River Marsh,
 Connecticut",Local Component
-0.01265193319018616,0.04249924589554174,-0.06748826211739165,1.809,"East River Marsh,
 Connecticut",Local Component
-0.010730055452848787,0.04437902437503946,-0.06566524146845396,1.816,"East River Marsh,
 Connecticut",Local Component
-0.10001840000192037,-0.010434731149091383,-0.1913371514108735,2.002,"Nassau,
 Florida",Local Component
-0.10039134198555325,-0.01268187337909551,-0.18941603544795968,1.99,"Nassau,
 Florida",Local Component
-0.10058552825418544,-0.015583089675648653,-0.18728593050077985,1.98,"Nassau,
 Florida",Local Component
-0.10065116057490145,-0.016022856436355332,-0.1863208957656497,1.974,"Nassau,
 Florida",Local Component
-0.10067574870865581,-0.0171458250878957,-0.1841117309965367,1.964,"Nassau,
 Florida",Local Component
-0.10018068168469925,-0.02106567702796531,-0.18053277513581725,1.936,"Nassau,
 Florida",Local Component
-0.0995246703457071,-0.021006802483094035,-0.17856065227401813,1.92,"Nassau,
 Florida",Local Component
-0.09872806287206179,-0.020945654288970834,-0.1777666493957902,1.906,"Nassau,
 Florida",Local Component
-0.09803185893258536,-0.02061159031905599,-0.17647084491427173,1.896,"Nassau,
 Florida",Local Component
-0.09678880520906075,-0.019020703629434196,-0.17530974353154155,1.881,"Nassau,
 Florida",Local Component
-0.09572565414542893,-0.0173789274240288,-0.17380896721149597,1.87,"Nassau,
 Florida",Local Component
-0.09441957459377116,-0.014791238474865034,-0.17211717045278538,1.858,"Nassau,
 Florida",Local Component
-0.05712165836427945,0.028192023825660852,-0.13812630624984168,1.68,"Nassau,
 Florida",Local Component
-0.041668643805310726,0.04267988695809845,-0.12231916314119468,1.633,"Nassau,
 Florida",Local Component
-0.030965697880912125,0.052042488536324524,-0.11146186915910888,1.604,"Nassau,
 Florida",Local Component
-0.01978594835965156,0.06206270690209818,-0.10037481922570021,1.576,"Nassau,
 Florida",Local Component
-5.387490052372119e-4,0.08089879855553872,-0.08065081734527689,1.532,"Nassau,
 Florida",Local Component
0.01956847078828464,0.09944636576184866,-0.06071530795633622,1.489,"Nassau,
 Florida",Local Component
0.03761762773249034,0.11731800384935999,-0.04555672712350593,1.446,"Nassau,
 Florida",Local Component
0.05545987407680319,0.13864477979782966,-0.03091792232971942,1.396,"Nassau,
 Florida",Local Component
0.06809938084481558,0.1541039866223089,-0.019486279793744267,1.353,"Nassau,
 Florida",Local Component
0.07823765150985697,0.16433699553338404,-0.01128368494504897,1.31,"Nassau,
 Florida",Local Component
0.08587468607192737,0.1726586573451346,-0.003422085843027544,1.267,"Nassau,
 Florida",Local Component
0.09101048453102664,0.17785786306503387,0.002229374068435376,1.224,"Nassau,
 Florida",Local Component
0.09290243363481684,0.17930829764359904,0.0045987422229824045,1.198,"Nassau,
 Florida",Local Component
0.09389925686327599,0.17949684379193614,0.0067647860780733655,1.171,"Nassau,
 Florida",Local Component
