RSL,upr,lwr,Age,SiteName,ID
-0.9173164234996857,-0.951942631276361,-0.883059480097355,1.336,"Barn Island,
 Connecticut",Total Posterior Model
-0.8250791681225748,-0.857044630959707,-0.7935794096854104,1.413,"Barn Island,
 Connecticut",Total Posterior Model
-0.799293201711963,-0.8295455949973036,-0.7701825940037685,1.441,"Barn Island,
 Connecticut",Total Posterior Model
-0.7115339497915429,-0.737688979925439,-0.6855678821321035,1.561,"Barn Island,
 Connecticut",Total Posterior Model
-0.7037496831166177,-0.7297509252238845,-0.6777834974729735,1.57,"Barn Island,
 Connecticut",Total Posterior Model
-0.6154746770034926,-0.637308197570414,-0.5933767976127152,1.655,"Barn Island,
 Connecticut",Total Posterior Model
-0.5504035747471455,-0.5718554068210151,-0.5278927473096768,1.713,"Barn Island,
 Connecticut",Total Posterior Model
-0.4677697300425569,-0.48576351795535355,-0.4483728203812351,1.789,"Barn Island,
 Connecticut",Total Posterior Model
-0.4219704684468821,-0.43924866861505923,-0.4038916365339124,1.825,"Barn Island,
 Connecticut",Total Posterior Model
-0.3410447595748873,-0.357122164741687,-0.32516476349134166,1.875,"Barn Island,
 Connecticut",Total Posterior Model
-1.9716366616872376,-2.0162016692079328,-1.924579903266017,0.243,"East River Marsh,
 Connecticut",Total Posterior Model
-1.8942111521918004,-1.9399394931994753,-1.8471459206318002,0.33,"East River Marsh,
 Connecticut",Total Posterior Model
-1.5414656927605197,-1.590717498178492,-1.492566678736234,0.817,"East River Marsh,
 Connecticut",Total Posterior Model
-1.5135213240731624,-1.5621167354675514,-1.4649610119429086,0.848,"East River Marsh,
 Connecticut",Total Posterior Model
-1.387993627895764,-1.43494435792292,-1.3401571164835435,0.965,"East River Marsh,
 Connecticut",Total Posterior Model
-1.3531018574405718,-1.3988948807081805,-1.3079150763132947,0.998,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9818335330676816,-1.0226649393426892,-0.9411318991336665,1.323,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9404958372856024,-0.980301540309882,-0.9007145292911386,1.356,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9392788982433689,-0.9790194111118768,-0.8994593837731102,1.357,"East River Marsh,
 Connecticut",Total Posterior Model
