RSL,upr,lwr,Age,SiteName,ID
-0.9514794063095057,-0.9129955614718568,-0.9908931616610024,1.336,"Barn Island,
 Connecticut",GIA and y offset Component
-0.8644694063095058,-0.8259855614718548,-0.9038831616610034,1.413,"Barn Island,
 Connecticut",GIA and y offset Component
-0.8328294063095057,-0.7943455614718541,-0.8722431616610034,1.441,"Barn Island,
 Connecticut",GIA and y offset Component
-0.6972294063095058,-0.6587455614718511,-0.7366431616610049,1.561,"Barn Island,
 Connecticut",GIA and y offset Component
-0.6870594063095057,-0.6485755614718507,-0.7264731616610048,1.57,"Barn Island,
 Connecticut",GIA and y offset Component
-0.5910094063095057,-0.5525255614718486,-0.6304231616610059,1.655,"Barn Island,
 Connecticut",GIA and y offset Component
-0.5254694063095057,-0.48698556147184696,-0.5648831616610065,1.713,"Barn Island,
 Connecticut",GIA and y offset Component
-0.4395894063095059,-0.4011055614718451,-0.4790031616610074,1.789,"Barn Island,
 Connecticut",GIA and y offset Component
-0.39890940630950583,-0.36042556147184424,-0.4383231616610078,1.825,"Barn Island,
 Connecticut",GIA and y offset Component
-0.3424094063095058,-0.3039255614718432,-0.3818231616610084,1.875,"Barn Island,
 Connecticut",GIA and y offset Component
-1.904192090187152,-1.8669406808346833,-1.9413968541851752,0.243,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.824152090187152,-1.7869006808346832,-1.861356854185175,0.33,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.376112090187152,-1.3388606808346832,-1.413316854185175,0.817,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.347592090187152,-1.3103406808346834,-1.3847968541851752,0.848,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.2399520901871521,-1.2027006808346834,-1.2771568541851752,0.965,"East River Marsh,
 Connecticut",GIA and y offset Component
-1.209592090187152,-1.1723406808346832,-1.246796854185175,0.998,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.9105920901871521,-0.8733406808346833,-0.9477968541851752,1.323,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.880232090187152,-0.8429806808346831,-0.9174368541851751,1.356,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.8793120901871522,-0.8420606808346833,-0.9165168541851753,1.357,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.7615520901871521,-0.7243006808346832,-0.7987568541851752,1.485,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.7100320901871521,-0.6727806808346832,-0.747236854185175,1.541,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.5306320901871521,-0.4933806808346832,-0.5678368541851752,1.736,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.4699120901871519,-0.4326606808346831,-0.507116854185175,1.802,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.46347209018715213,-0.42622068083468334,-0.5006768541851753,1.809,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.46347209018715213,-0.42622068083468334,-0.5006768541851753,1.809,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.4570320901871519,-0.4197806808346831,-0.494236854185175,1.816,"East River Marsh,
 Connecticut",GIA and y offset Component
-0.09392967436845316,-0.028181416249442596,-0.156690361482196,2.002,"Nassau,
 Florida",GIA and y offset Component
-0.0989696743684531,-0.033221416249442526,-0.1617303614821959,1.99,"Nassau,
 Florida",GIA and y offset Component
-0.10316967436845308,-0.03742141624944251,-0.1659303614821959,1.98,"Nassau,
 Florida",GIA and y offset Component
-0.10568967436845315,-0.03994141624944259,-0.16845036148219597,1.974,"Nassau,
 Florida",GIA and y offset Component
-0.10988967436845314,-0.04414141624944257,-0.17265036148219595,1.964,"Nassau,
 Florida",GIA and y offset Component
-0.12164967436845313,-0.055901416249442566,-0.18441036148219594,1.936,"Nassau,
 Florida",GIA and y offset Component
-0.1283696743684532,-0.06262141624944262,-0.191130361482196,1.92,"Nassau,
 Florida",GIA and y offset Component
-0.1342496743684532,-0.06850141624944261,-0.197010361482196,1.906,"Nassau,
 Florida",GIA and y offset Component
-0.13844967436845318,-0.0727014162494426,-0.20121036148219598,1.896,"Nassau,
 Florida",GIA and y offset Component
-0.14474967436845315,-0.07900141624944258,-0.20751036148219598,1.881,"Nassau,
 Florida",GIA and y offset Component
-0.1493696743684531,-0.08362141624944253,-0.2121303614821959,1.87,"Nassau,
 Florida",GIA and y offset Component
-0.15440967436845304,-0.08866141624944246,-0.21717036148219585,1.858,"Nassau,
 Florida",GIA and y offset Component
-0.2291696743684532,-0.16342141624944262,-0.29193036148219603,1.68,"Nassau,
 Florida",GIA and y offset Component
-0.24890967436845307,-0.1831614162494425,-0.3116703614821959,1.633,"Nassau,
 Florida",GIA and y offset Component
-0.26108967436845304,-0.19534141624944246,-0.32385036148219587,1.604,"Nassau,
 Florida",GIA and y offset Component
-0.27284967436845314,-0.20710141624944256,-0.3356103614821959,1.576,"Nassau,
 Florida",GIA and y offset Component
-0.2913296743684531,-0.2255814162494425,-0.35409036148219586,1.532,"Nassau,
 Florida",GIA and y offset Component
-0.30938967436845305,-0.24364141624944247,-0.3721503614821959,1.489,"Nassau,
 Florida",GIA and y offset Component
-0.3274496743684531,-0.26170141624944254,-0.39021036148219596,1.446,"Nassau,
 Florida",GIA and y offset Component
-0.34844967436845314,-0.28270141624944256,-0.4112103614821959,1.396,"Nassau,
 Florida",GIA and y offset Component
-0.3665096743684531,-0.3007614162494425,-0.42927036148219594,1.353,"Nassau,
 Florida",GIA and y offset Component
-0.3845696743684531,-0.3188214162494425,-0.44733036148219585,1.31,"Nassau,
 Florida",GIA and y offset Component
-0.40262967436845315,-0.33688141624944257,-0.465390361482196,1.267,"Nassau,
 Florida",GIA and y offset Component
-0.4206896743684531,-0.35494141624944253,-0.48345036148219594,1.224,"Nassau,
 Florida",GIA and y offset Component
-0.43160967436845316,-0.3658614162494426,-0.494370361482196,1.198,"Nassau,
 Florida",GIA and y offset Component
-0.4429496743684531,-0.37720141624944253,-0.5057103614821958,1.171,"Nassau,
 Florida",GIA and y offset Component
-0.4601696743684532,-0.3944214162494426,-0.5229303614821961,1.13,"Nassau,
 Florida",GIA and y offset Component
-0.4685696743684531,-0.4028214162494425,-0.5313303614821958,1.11,"Nassau,
 Florida",GIA and y offset Component
-0.47738967436845314,-0.41164141624944256,-0.540150361482196,1.089,"Nassau,
 Florida",GIA and y offset Component
-0.4946096743684531,-0.4288614162494425,-0.5573703614821959,1.048,"Nassau,
 Florida",GIA and y offset Component
-0.5118296743684532,-0.4460814162494426,-0.5745903614821959,1.007,"Nassau,
 Florida",GIA and y offset Component
-0.529469674368453,-0.4637214162494425,-0.592230361482196,0.965,"Nassau,
 Florida",GIA and y offset Component
-0.550889674368453,-0.4851414162494425,-0.6136503614821959,0.914,"Nassau,
 Florida",GIA and y offset Component
-0.5744096743684531,-0.5086614162494426,-0.6371703614821961,0.858,"Nassau,
 Florida",GIA and y offset Component
-0.5970896743684531,-0.5313414162494425,-0.6598503614821959,0.804,"Nassau,
 Florida",GIA and y offset Component
-0.6197696743684531,-0.5540214162494425,-0.6825303614821958,0.75,"Nassau,
 Florida",GIA and y offset Component
-0.6420296743684532,-0.5762814162494426,-0.704790361482196,0.697,"Nassau,
 Florida",GIA and y offset Component
-0.6659696743684531,-0.6002214162494425,-0.7287303614821958,0.64,"Nassau,
 Florida",GIA and y offset Component
-0.6928496743684531,-0.6271014162494425,-0.7556103614821958,0.576,"Nassau,
 Florida",GIA and y offset Component
-0.716369674368453,-0.6506214162494425,-0.7791303614821958,0.52,"Nassau,
 Florida",GIA and y offset Component
-0.7403096743684531,-0.6745614162494425,-0.803070361482196,0.463,"Nassau,
 Florida",GIA and y offset Component
-0.765929674368453,-0.7001814162494425,-0.8286903614821959,0.402,"Nassau,
 Florida",GIA and y offset Component
-0.787349674368453,-0.7216014162494425,-0.8501103614821959,0.351,"Nassau,
 Florida",GIA and y offset Component
-0.8062496743684531,-0.7405014162494425,-0.8690103614821959,0.306,"Nassau,
 Florida",GIA and y offset Component
-0.8251496743684531,-0.7594014162494426,-0.8879103614821959,0.261,"Nassau,
 Florida",GIA and y offset Component
-0.8432096743684531,-0.7774614162494425,-0.905970361482196,0.218,"Nassau,
 Florida",GIA and y offset Component
-0.8679896743684531,-0.8022414162494426,-0.9307503614821959,0.159,"Nassau,
 Florida",GIA and y offset Component
-0.877229674368453,-0.8114814162494425,-0.9399903614821958,0.137,"Nassau,
 Florida",GIA and y offset Component
-0.886889674368453,-0.8211414162494425,-0.9496503614821958,0.114,"Nassau,
 Florida",GIA and y offset Component
-0.9053696743684531,-0.8396214162494426,-0.9681303614821959,0.07,"Nassau,
 Florida",GIA and y offset Component
-0.9246896743684531,-0.8589414162494425,-0.9874503614821959,0.024,"Nassau,
 Florida",GIA and y offset Component
-0.943169674368453,-0.8774214162494425,-1.005930361482196,-0.02,"Nassau,
 Florida",GIA and y offset Component
-0.962069674368453,-0.8963214162494425,-1.0248303614821959,-0.065,"Nassau,
 Florida",GIA and y offset Component
-0.9805496743684531,-0.9148014162494426,-1.043310361482196,-0.109,"Nassau,
 Florida",GIA and y offset Component
-0.9994496743684531,-0.9337014162494425,-1.0622103614821958,-0.154,"Nassau,
 Florida",GIA and y offset Component
-1.0179296743684532,-0.9521814162494425,-1.0806903614821959,-0.198,"Nassau,
 Florida",GIA and y offset Component
-1.037669674368453,-0.9719214162494425,-1.100430361482196,-0.245,"Nassau,
 Florida",GIA and y offset Component
-1.054049674368453,-0.9883014162494425,-1.1168103614821958,-0.284,"Nassau,
 Florida",GIA and y offset Component
-1.067489674368453,-1.0017414162494425,-1.130250361482196,-0.316,"Nassau,
 Florida",GIA and y offset Component
-1.081349674368453,-1.0156014162494427,-1.1441103614821961,-0.349,"Nassau,
 Florida",GIA and y offset Component
-1.094369674368453,-1.0286214162494425,-1.1571303614821962,-0.38,"Nassau,
 Florida",GIA and y offset Component
-1.108229674368453,-1.0424814162494427,-1.170990361482196,-0.413,"Nassau,
 Florida",GIA and y offset Component
-1.121669674368453,-1.0559214162494426,-1.1844303614821958,-0.445,"Nassau,
 Florida",GIA and y offset Component
-1.135109674368453,-1.0693614162494425,-1.197870361482196,-0.477,"Nassau,
 Florida",GIA and y offset Component
-1.1443496743684531,-1.0786014162494426,-1.207110361482196,-0.499,"Nassau,
 Florida",GIA and y offset Component
-1.7519853543084452,-1.6787405207109622,-1.8296543600933963,-0.648,"Revere,
 Massachusetts",GIA and y offset Component
-1.295838726586874,-1.225343737085365,-1.3656839228637363,0.137,"Revere,
 Massachusetts",GIA and y offset Component
-0.801340917426292,-0.7293108182152616,-0.8715082196946141,0.988,"Revere,
 Massachusetts",GIA and y offset Component
-0.45501812746188885,-0.37632372210678705,-0.5339868044167538,1.584,"Revere,
 Massachusetts",GIA and y offset Component
-0.9882072001812343,-0.9386948055342877,-1.039105506757359,0.463,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.965327200235363,-0.9158148028205275,-1.0162255078706557,0.507,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.907087200373145,-0.8575747959127746,-0.9579855107045023,0.619,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.8800472004371154,-0.8305347927056037,-0.9309455120202167,0.671,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.8613272004814024,-0.8118147904852545,-0.9122255129310959,0.707,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.8504072005072366,-0.8008947891900507,-0.9013055134624421,0.728,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.7443272007581967,-0.6948147766080721,-0.795225518624091,0.932,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.7396472007692686,-0.6901347760529849,-0.7905455188518108,0.941,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.7105272008381596,-0.6610147725991083,-0.7614255202687341,0.997,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.4931672013523819,-0.44365474681838746,-0.5440655308450539,1.415,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.4562472014397259,-0.40673474243936547,-0.5071455326415101,1.486,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.4557272014409561,-0.40621474237768906,-0.5066255326668122,1.487,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.39696720157996834,-0.3474547354082598,-0.4478655355259609,1.6,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.361087201664852,-0.31157473115259054,-0.4119855372718127,1.669,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.3449672017029881,-0.2954547292406232,-0.395865538056181,1.7,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.2539672019182726,-0.20445471844725913,-0.3048655424840661,1.875,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.22536720198593344,-0.1758547150550591,-0.27626554387568714,1.93,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.20820720202652987,-0.158694713019739,-0.2591055447106596,1.963,"Wood Island,
 Massachusetts",GIA and y offset Component
-0.4006242284645256,-0.35329417517630585,-0.4492342070573927,2.005,"Sand Point,
 North Carolina",GIA and y offset Component
-0.4125042284645253,-0.36517417517630557,-0.46111420705739237,1.993,"Sand Point,
 North Carolina",GIA and y offset Component
