RSL,upr,lwr,Age,SiteName,ID
-0.9049931434948605,-0.939290906487057,-0.869222271062646,1.336,"Barn Island,
 Connecticut",Total Posterior Model
-0.8171524063173469,-0.8480758921963492,-0.7859329901745118,1.413,"Barn Island,
 Connecticut",Total Posterior Model
-0.7927162237166937,-0.8217344620503529,-0.7627156442808226,1.441,"Barn Island,
 Connecticut",Total Posterior Model
-0.7112142532146214,-0.7365988191854047,-0.6850155986984781,1.561,"Barn Island,
 Connecticut",Total Posterior Model
-0.7038470636927204,-0.7290944862476564,-0.6777684387995013,1.57,"Barn Island,
 Connecticut",Total Posterior Model
-0.6161289841847014,-0.6383525483958253,-0.5921418029942727,1.655,"Barn Island,
 Connecticut",Total Posterior Model
-0.5484339029986552,-0.5711976706761042,-0.5247220885428238,1.713,"Barn Island,
 Connecticut",Total Posterior Model
-0.4619934332809506,-0.4836066941286833,-0.4409812633133475,1.789,"Barn Island,
 Connecticut",Total Posterior Model
-0.4157932248283471,-0.4369014133737709,-0.3952993008625371,1.825,"Barn Island,
 Connecticut",Total Posterior Model
-0.3367766802262249,-0.35778199694118096,-0.3172211884491982,1.875,"Barn Island,
 Connecticut",Total Posterior Model
-1.9741659684907753,-2.017881587817311,-1.9303940460055389,0.243,"East River Marsh,
 Connecticut",Total Posterior Model
-1.8983958014552949,-1.9430842198712865,-1.8532231220008852,0.33,"East River Marsh,
 Connecticut",Total Posterior Model
-1.5557446749898691,-1.6065285689941535,-1.50566873978339,0.817,"East River Marsh,
 Connecticut",Total Posterior Model
-1.5275329411346668,-1.577697011824418,-1.477204789960411,0.848,"East River Marsh,
 Connecticut",Total Posterior Model
-1.3977494221730726,-1.4443478943329153,-1.3502557159935735,0.965,"East River Marsh,
 Connecticut",Total Posterior Model
-1.3620285973989734,-1.4082046625204245,-1.3175068285643998,0.998,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9974758780487706,-1.0397399035214123,-0.9558291571853427,1.323,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9585762428235406,-0.9993518684705114,-0.9175176153136645,1.356,"East River Marsh,
 Connecticut",Total Posterior Model
-0.9574348291063939,-0.9982776873153971,-0.9164448379323586,1.357,"East River Marsh,
 Connecticut",Total Posterior Model
-0.8403462974496619,-0.8744600228766224,-0.8052333788583469,1.485,"East River Marsh,
 Connecticut",Total Posterior Model
-0.799084874916237,-0.8328631659305679,-0.7639064034852776,1.541,"East River Marsh,
 Connecticut",Total Posterior Model
-0.5782212288328709,-0.6088808345146857,-0.546085415960292,1.736,"East River Marsh,
 Connecticut",Total Posterior Model
-0.4983093461701279,-0.5274362131664341,-0.4680478812042426,1.802,"East River Marsh,
 Connecticut",Total Posterior Model
-0.4891008188773475,-0.5180747638752459,-0.4589251235243469,1.809,"East River Marsh,
 Connecticut",Total Posterior Model
-0.4891008188773475,-0.5180747638752459,-0.4589251235243469,1.809,"East River Marsh,
 Connecticut",Total Posterior Model
-0.47964761586377375,-0.5081510129627241,-0.44903085654316055,1.816,"East River Marsh,
 Connecticut",Total Posterior Model
-0.020903481104604313,-0.05408899046525988,0.012810127475870453,2.002,"Nassau,
 Florida",Total Posterior Model
-0.04509449592028781,-0.07503433505524298,-0.014619373276221086,1.99,"Nassau,
 Florida",Total Posterior Model
-0.06389933222982543,-0.09105533008438174,-0.0360205184367087,1.98,"Nassau,
 Florida",Total Posterior Model
-0.07460523018854506,-0.10057046193421476,-0.0482026232189275,1.974,"Nassau,
 Florida",Total Posterior Model
-0.09150835934139478,-0.11649457679303311,-0.0656196962945856,1.964,"Nassau,
 Florida",Total Posterior Model
-0.13282941535322518,-0.1567423891005387,-0.10825943978635788,1.936,"Nassau,
 Florida",Total Posterior Model
-0.1526641706550638,-0.17682101136102268,-0.126945164293433,1.92,"Nassau,
 Florida",Total Posterior Model
-0.16789280520083055,-0.1932352640246611,-0.1410795190013453,1.906,"Nassau,
 Florida",Total Posterior Model
-0.1776050365373,-0.20522706659000262,-0.14940960005322051,1.896,"Nassau,
 Florida",Total Posterior Model
-0.19042857546751268,-0.2212706660442149,-0.1585620276281471,1.881,"Nassau,
 Florida",Total Posterior Model
-0.1985553534181624,-0.2317877611541743,-0.16476168866485696,1.87,"Nassau,
 Florida",Total Posterior Model
-0.20625479743483158,-0.24172161931423625,-0.17036601159492906,1.858,"Nassau,
 Florida",Total Posterior Model
-0.26484397333332343,-0.31811558493794356,-0.21037871865729418,1.68,"Nassau,
 Florida",Total Posterior Model
-0.2843402682810934,-0.33412344305810265,-0.2334235032099934,1.633,"Nassau,
 Florida",Total Posterior Model
-0.2955810567576251,-0.3437110939213532,-0.2462443251177233,1.604,"Nassau,
 Florida",Total Posterior Model
-0.3044081426875066,-0.3511466711294775,-0.2567863871416133,1.576,"Nassau,
 Florida",Total Posterior Model
-0.31228747362203435,-0.3546254101992109,-0.2681490814670626,1.532,"Nassau,
 Florida",Total Posterior Model
-0.3157223669556187,-0.35585717344160955,-0.2742362188747745,1.489,"Nassau,
 Florida",Total Posterior Model
-0.32062698011654267,-0.3618494296531598,-0.2786096523654814,1.446,"Nassau,
 Florida",Total Posterior Model
-0.3338803223098657,-0.37750976118026286,-0.2911372229458584,1.396,"Nassau,
 Florida",Total Posterior Model
-0.35312793585867586,-0.39888693489786875,-0.3097689368019342,1.353,"Nassau,
 Florida",Total Posterior Model
-0.37700624048627895,-0.4237650255543158,-0.3321082616035276,1.31,"Nassau,
 Florida",Total Posterior Model
-0.4027607852853003,-0.4510554216708511,-0.3567988620391506,1.267,"Nassau,
 Florida",Total Posterior Model
-0.42796516917109556,-0.47367519467989994,-0.38229574921405746,1.224,"Nassau,
 Florida",Total Posterior Model
-0.44245684184232464,-0.48579128659328513,-0.39775164914695244,1.198,"Nassau,
 Florida",Total Posterior Model
-0.4566926988813771,-0.4981821890980223,-0.4133499833756849,1.171,"Nassau,
 Florida",Total Posterior Model
-0.47631298207717737,-0.5169198646191345,-0.4356884357428399,1.13,"Nassau,
 Florida",Total Posterior Model
-0.4848426896764165,-0.5252442337538924,-0.44366929070076633,1.11,"Nassau,
 Florida",Total Posterior Model
-0.49311172043373164,-0.5325873681554896,-0.4532065973382867,1.089,"Nassau,
 Florida",Total Posterior Model
-0.5085478171663003,-0.5458203337400804,-0.46984548091999834,1.048,"Nassau,
 Florida",Total Posterior Model
-0.5253014817312983,-0.5648886929661096,-0.4837964513120751,1.007,"Nassau,
 Florida",Total Posterior Model
-0.5450435535642276,-0.5884873346008014,-0.5012433266660533,0.965,"Nassau,
 Florida",Total Posterior Model
-0.5735851546090612,-0.6210715847266478,-0.52680855932601,0.914,"Nassau,
 Florida",Total Posterior Model
-0.6043638401035383,-0.6550481519868494,-0.5513895221979624,0.858,"Nassau,
 Florida",Total Posterior Model
-0.6248794046944606,-0.6777992937944494,-0.5673063456773039,0.804,"Nassau,
 Florida",Total Posterior Model
-0.6333258849126644,-0.6855093836137375,-0.5774073011910283,0.75,"Nassau,
 Florida",Total Posterior Model
-0.6389398616241986,-0.6910139503712749,-0.5844293384605579,0.697,"Nassau,
 Florida",Total Posterior Model
-0.6537489581257679,-0.7039057579941761,-0.6020373444305167,0.64,"Nassau,
 Florida",Total Posterior Model
-0.6832350999086207,-0.7289754363512976,-0.637397655688112,0.576,"Nassau,
 Florida",Total Posterior Model
-0.7092209596575292,-0.7534866725968872,-0.6663474937324667,0.52,"Nassau,
 Florida",Total Posterior Model
-0.7280804867647661,-0.7699067898224751,-0.6866298541649454,0.463,"Nassau,
 Florida",Total Posterior Model
-0.7443280661264647,-0.789411198894751,-0.6997046075308881,0.402,"Nassau,
 Florida",Total Posterior Model
-0.7593474481046582,-0.8078993927059596,-0.7106683694032819,0.351,"Nassau,
 Florida",Total Posterior Model
-0.7760342066857993,-0.825255676925611,-0.7280761118869254,0.306,"Nassau,
 Florida",Total Posterior Model
-0.7961708265038213,-0.8452135836502666,-0.7481845804731247,0.261,"Nassau,
 Florida",Total Posterior Model
-0.8186322177469679,-0.8678784427856628,-0.7711506459093588,0.218,"Nassau,
 Florida",Total Posterior Model
-0.8540402207342037,-0.8996774648355067,-0.8098251770233994,0.159,"Nassau,
 Florida",Total Posterior Model
-0.8679933500416389,-0.9112625178559868,-0.8256861649225243,0.137,"Nassau,
 Florida",Total Posterior Model
-0.8826401300688728,-0.9243084537176892,-0.8411529824309287,0.114,"Nassau,
 Florida",Total Posterior Model
-0.909911774041886,-0.9519860486520981,-0.8679355433529524,0.07,"Nassau,
 Florida",Total Posterior Model
-0.9357935503899956,-0.9773075317733038,-0.894358282148792,0.024,"Nassau,
 Florida",Total Posterior Model
