Site	ID	lat	long	RSL_class	-930	-880	-830	-780	-730	-680	-630	-580	-530	-480	-430	-380	-330	-280	-230	-180	-130	-80	-30	20	70	120	170	220	270	320	370	420	470	520	570	620	670	720	770	820	870	920	970	1020	1070	1120	1170	1220	1270	1320	1370	1420	1470	1520	1570	1620	1670	1720	1770	1820	1870	1920	1970	2020
Big River Marsh	31000	48.6	-58.8	RSLs	-1802.578	-1786.833	-1778.051	-1776.532	-1777.967	-1776.51	-1779.164	-1791.145	-1803.69	-1813.849	-1824.046	-1832.092	-1830.252	-1818.117	-1810.989	-1822.07	-1841.128	-1855.196	-1865.223	-1874.428	-1881.021	-1881.072	-1878.921	-1877.152	-1873.808	-1872.143	-1872.785	-1872.023	-1872.454	-1871.316	-1871.138	-1878.256	-1885.64	-1888.542	-1891.166	-1893.534	-1894.218	-1896.061	-1896.181	-1895.413	-1897.002	-1899.236	-1898.228	-1895.637	-1889.104	-1875.986	-1861.379	-1850.535	-1843.009	-1835.961	-1826.005	-1817.042	-1805.738	-1792.39	-1773.025	-1748.062	-1718.961	-1678.397	-1606.146	-1517.268
Big River Marsh	31000	48.6	-58.8	SDs	196.976	190.896	185.558	180.767	176.375	172.343	168.72	165.494	162.591	160	157.672	155.553	153.622	151.888	150.317	148.902	147.641	146.53	145.571	144.788	144.184	143.782	143.616	143.651	143.863	144.296	144.937	145.816	146.93	148.281	149.841	151.562	153.437	155.488	157.717	160.107	162.639	165.308	168.141	171.131	174.242	177.452	180.755	184.146	187.621	191.19	194.866	198.628	202.463	206.38	210.364	214.424	218.546	222.731	226.965	231.224	235.511	239.835	244.191	248.582
Barn Island	32000	41.3	-71.9	RSLs	-1802.578	-1786.833	-1778.051	-1776.532	-1777.967	-1776.51	-1779.164	-1791.145	-1803.69	-1813.849	-1824.046	-1832.092	-1830.252	-1818.117	-1810.989	-1822.07	-1841.128	-1855.196	-1865.223	-1874.428	-1881.021	-1881.072	-1878.921	-1877.152	-1873.808	-1872.143	-1872.785	-1872.023	-1872.454	-1871.316	-1871.138	-1878.256	-1885.64	-1888.542	-1891.166	-1893.534	-1894.218	-1896.061	-1896.181	-1895.413	-1897.002	-1899.236	-1898.228	-1895.637	-1889.104	-1875.986	-1861.379	-1850.535	-1843.009	-1835.961	-1826.005	-1817.042	-1805.738	-1792.39	-1773.025	-1748.062	-1718.961	-1678.397	-1606.146	-1517.268
Barn Island	32000	41.3	-71.9	SDs	196.976	190.896	185.558	180.767	176.375	172.343	168.72	165.494	162.591	160	157.672	155.553	153.622	151.888	150.317	148.902	147.641	146.53	145.571	144.788	144.184	143.782	143.616	143.651	143.863	144.296	144.937	145.816	146.93	148.281	149.841	151.562	153.437	155.488	157.717	160.107	162.639	165.308	168.141	171.131	174.242	177.452	180.755	184.146	187.621	191.19	194.866	198.628	202.463	206.38	210.364	214.424	218.546	222.731	226.965	231.224	235.511	239.835	244.191	248.582
East River Marsh	33000	41.3	-72.6	RSLs	-1802.578	-1786.833	-1778.051	-1776.532	-1777.967	-1776.51	-1779.164	-1791.145	-1803.69	-1813.849	-1824.046	-1832.092	-1830.252	-1818.117	-1810.989	-1822.07	-1841.128	-1855.196	-1865.223	-1874.428	-1881.021	-1881.072	-1878.921	-1877.152	-1873.808	-1872.143	-1872.785	-1872.023	-1872.454	-1871.316	-1871.138	-1878.256	-1885.64	-1888.542	-1891.166	-1893.534	-1894.218	-1896.061	-1896.181	-1895.413	-1897.002	-1899.236	-1898.228	-1895.637	-1889.104	-1875.986	-1861.379	-1850.535	-1843.009	-1835.961	-1826.005	-1817.042	-1805.738	-1792.39	-1773.025	-1748.062	-1718.961	-1678.397	-1606.146	-1517.268
East River Marsh	33000	41.3	-72.6	SDs	196.976	190.896	185.558	180.767	176.375	172.343	168.72	165.494	162.591	160	157.672	155.553	153.622	151.888	150.317	148.902	147.641	146.53	145.571	144.788	144.184	143.782	143.616	143.651	143.863	144.296	144.937	145.816	146.93	148.281	149.841	151.562	153.437	155.488	157.717	160.107	162.639	165.308	168.141	171.131	174.242	177.452	180.755	184.146	187.621	191.19	194.866	198.628	202.463	206.38	210.364	214.424	218.546	222.731	226.965	231.224	235.511	239.835	244.191	248.582
Little Manatee River	34000	27.7	-82.5	RSLs	-1802.578	-1786.833	-1778.051	-1776.532	-1777.967	-1776.51	-1779.164	-1791.145	-1803.69	-1813.849	-1824.046	-1832.092	-1830.252	-1818.117	-1810.989	-1822.07	-1841.128	-1855.196	-1865.223	-1874.428	-1881.021	-1881.072	-1878.921	-1877.152	-1873.808	-1872.143	-1872.785	-1872.023	-1872.454	-1871.316	-1871.138	-1878.256	-1885.64	-1888.542	-1891.166	-1893.534	-1894.218	-1896.061	-1896.181	-1895.413	-1897.002	-1899.236	-1898.228	-1895.637	-1889.104	-1875.986	-1861.379	-1850.535	-1843.009	-1835.961	-1826.005	-1817.042	-1805.738	-1792.39	-1773.025	-1748.062	-1718.961	-1678.397	-1606.146	-1517.268
Little Manatee River	34000	27.7	-82.5	SDs	196.976	190.896	185.558	180.767	176.375	172.343	168.72	165.494	162.591	160	157.672	155.553	153.622	151.888	150.317	148.902	147.641	146.53	145.571	144.788	144.184	143.782	143.616	143.651	143.863	144.296	144.937	145.816	146.93	148.281	149.841	151.562	153.437	155.488	157.717	160.107	162.639	165.308	168.141	171.131	174.242	177.452	180.755	184.146	187.621	191.19	194.866	198.628	202.463	206.38	210.364	214.424	218.546	222.731	226.965	231.224	235.511	239.835	244.191	248.582
Cedar Island	35000	35	-76.4	RSLs	-1802.578	-1786.833	-1778.051	-1776.532	-1777.967	-1776.51	-1779.164	-1791.145	-1803.69	-1813.849	-1824.046	-1832.092	-1830.252	-1818.117	-1810.989	-1822.07	-1841.128	-1855.196	-1865.223	-1874.428	-1881.021	-1881.072	-1878.921	-1877.152	-1873.808	-1872.143	-1872.785	-1872.023	-1872.454	-1871.316	-1871.138	-1878.256	-1885.64	-1888.542	-1891.166	-1893.534	-1894.218	-1896.061	-1896.181	-1895.413	-1897.002	-1899.236	-1898.228	-1895.637	-1889.104	-1875.986	-1861.379	-1850.535	-1843.009	-1835.961	-1826.005	-1817.042	-1805.738	-1792.39	-1773.025	-1748.062	-1718.961	-1678.397	-1606.146	-1517.268
