Site	ID	lat	long	RSL_class	-930	-880	-830	-780	-730	-680	-630	-580	-530	-480	-430	-380	-330	-280	-230	-180	-130	-80	-30	20	70	120	170	220	270	320	370	420	470	520	570	620	670	720	770	820	870	920	970	1020	1070	1120	1170	1220	1270	1320	1370	1420	1470	1520	1570	1620	1670	1720	1770	1820	1870	1920	1970	2020
Big River Marsh	31000	48.6	-58.8	RSLs	-688.201	-651.201	-614.201	-577.201	-540.201	-503.201	-466.201	-429.201	-392.2	-355.2	-318.2	-281.2	-244.2	-207.2	-170.2	-133.2	-96.2	-59.2	-22.2	14.8	51.8	88.8	125.8	162.8	199.8	236.8	273.8	310.8	347.8	384.8	421.801	458.801	495.801	532.801	569.801	606.801	643.801	680.801	717.801	754.801	791.801	828.801	865.801	902.801	939.801	976.801	1013.801	1050.801	1087.801	1124.801	1161.801	1198.802	1235.802	1272.802	1309.802	1346.802	1383.802	1420.802	1457.802	1494.802
Big River Marsh	31000	48.6	-58.8	SDs	199.418	188.696	177.975	167.253	156.532	145.811	135.089	124.368	113.647	102.925	92.204	81.482	70.761	60.04	49.318	38.597	27.876	17.154	6.433	4.289	15.01	25.731	36.453	47.174	57.895	68.617	79.338	90.06	100.781	111.502	122.224	132.945	143.666	154.388	165.109	175.831	186.552	197.273	207.995	218.716	229.437	240.159	250.88	261.602	272.323	283.044	293.766	304.487	315.208	325.93	336.651	347.373	358.094	368.815	379.537	390.258	400.98	411.701	422.422	433.144
Barn Island	32000	41.3	-71.9	RSLs	-912.494	-863.435	-814.377	-765.318	-716.259	-667.2	-618.141	-569.082	-520.024	-470.965	-421.906	-372.847	-323.788	-274.729	-225.671	-176.612	-127.553	-78.494	-29.435	19.624	68.682	117.741	166.8	215.859	264.918	313.977	363.035	412.094	461.153	510.212	559.271	608.329	657.388	706.447	755.506	804.565	853.624	902.682	951.741	1000.8	1049.859	1098.918	1147.977	1197.035	1246.094	1295.153	1344.212	1393.271	1442.329	1491.388	1540.447	1589.506	1638.565	1687.624	1736.682	1785.741	1834.8	1883.859	1932.918	1981.977
Barn Island	32000	41.3	-71.9	SDs	174.812	165.413	156.015	146.616	137.218	127.819	118.421	109.022	99.624	90.225	80.827	71.428	62.03	52.631	43.233	33.835	24.436	15.038	5.639	3.759	13.158	22.556	31.955	41.353	50.752	60.15	69.549	78.947	88.346	97.744	107.143	116.541	125.94	135.338	144.736	154.135	163.533	172.932	182.33	191.729	201.127	210.526	219.924	229.323	238.721	248.12	257.518	266.917	276.315	285.714	295.112	304.511	313.909	323.307	332.706	342.104	351.503	360.901	370.3	379.698
East River Marsh	33000	41.3	-72.6	RSLs	-956.479	-905.056	-853.632	-802.209	-750.785	-699.361	-647.938	-596.514	-545.09	-493.667	-442.243	-390.82	-339.396	-287.972	-236.549	-185.125	-133.701	-82.278	-30.854	20.569	71.993	123.417	174.84	226.264	277.688	329.111	380.535	431.958	483.382	534.806	586.229	637.653	689.077	740.5	791.924	843.347	894.771	946.195	997.618	1049.042	1100.466	1151.889	1203.313	1254.736	1306.16	1357.584	1409.007	1460.431	1511.855	1563.278	1614.702	1666.126	1717.549	1768.973	1820.396	1871.82	1923.244	1974.667	2026.091	2077.514
East River Marsh	33000	41.3	-72.6	SDs	182.534	172.72	162.907	153.093	143.279	133.466	123.652	113.838	104.025	94.211	84.397	74.584	64.77	54.956	45.143	35.329	25.515	15.702	5.888	3.925	13.739	23.553	33.366	43.18	52.994	62.807	72.621	82.435	92.248	102.062	111.876	121.689	131.503	141.317	151.13	160.944	170.757	180.571	190.385	200.198	210.012	219.826	229.639	239.453	249.267	259.08	268.894	278.708	288.521	298.335	308.149	317.962	327.776	337.589	347.403	357.217	367.03	376.844	386.658	396.471
Little Manatee River	34000	27.7	-82.5	RSLs	-524.271	-496.084	-467.898	-439.711	-411.524	-383.338	-355.151	-326.965	-298.778	-270.591	-242.405	-214.218	-186.032	-157.845	-129.658	-101.472	-73.285	-45.099	-16.912	11.275	39.461	67.648	95.834	124.021	152.208	180.394	208.581	236.767	264.954	293.141	321.327	349.514	377.701	405.887	434.074	462.26	490.447	518.634	546.82	575.007	603.193	631.38	659.567	687.753	715.94	744.126	772.313	800.5	828.686	856.873	885.059	913.246	941.433	969.619	997.806	1025.992	1054.179	1082.366	1110.552	1138.739
Little Manatee River	34000	27.7	-82.5	SDs	206.502	195.4	184.297	173.195	162.093	150.991	139.888	128.786	117.684	106.582	95.479	84.377	73.275	62.173	51.07	39.968	28.866	17.764	6.661	4.441	15.543	26.645	37.748	48.85	59.952	71.054	82.157	93.259	104.361	115.463	126.566	137.668	148.77	159.872	170.975	182.077	193.179	204.281	215.384	226.486	237.588	248.69	259.793	270.895	281.997	293.099	304.202	315.304	326.406	337.508	348.611	359.713	370.815	381.917	393.02	404.122	415.224	426.326	437.429	448.531
Cedar Island	35000	35	-76.4	RSLs	-742.27	-702.363	-662.456	-622.549	-582.642	-542.735	-502.828	-462.921	-423.014	-383.107	-343.2	-303.293	-263.386	-223.479	-183.572	-143.665	-103.758	-63.851	-23.944	15.963	55.87	95.777	135.684	175.591	215.498	255.405	295.312	335.219	375.126	415.033	454.94	494.847	534.754	574.661	614.568	654.475	694.381	734.288	774.195	814.102	854.009	893.916	933.823	973.73	1013.637	1053.544	1093.451	1133.358	1173.265	1213.172	1253.079	1292.986	1332.893	1372.8	1412.707	1452.614	1492.521	1532.428	1572.335	1612.242
