Site	ID	lat	long	RSL_class	-1030	-980	-930	-880	-830	-780	-730	-680	-630	-580	-530	-480	-430	-380	-330	-280	-230	-180	-130	-80	-30	20	70	120	170	220	270	320	370	420	470	520	570	620	670	720	770	820	870	920	970	1020	1070	1120	1170	1220	1270	1320	1370	1420	1470	1520	1570	1620	1670	1720	1770	1820	1870	1920	1970	2020
Big River Marsh	31000	48.6	-58.8	RSLs	-2820.461	-2759.308	-2698.253	-2642.124	-2599.445	-2572.403	-2544.783	-2497.599	-2470.436	-2484.166	-2483.66	-2457.133	-2436.177	-2427.463	-2400.09	-2335.705	-2266.853	-2245.638	-2248.071	-2236.314	-2214.299	-2195.07	-2182.716	-2153.342	-2107.493	-2052.984	-1983.293	-1900.739	-1805.964	-1692.346	-1591.742	-1526.489	-1505.366	-1525.6	-1540.356	-1514.542	-1463.419	-1404.641	-1344.422	-1293.668	-1242.891	-1200.039	-1179.841	-1165.433	-1127.993	-1078.487	-1027.653	-971.536	-909.198	-850.19	-799.502	-745.733	-674.974	-607.044	-539.655	-477.206	-410.765	-337.404	-273.989	-217.915	-119.003	19.067
Big River Marsh	31000	48.6	-58.8	SDs	128.666	105.775	82.593	59.341	38.382	27.089	25.306	24.34	22.284	22.808	23.641	22.884	21.559	21.317	20.76	20.478	20.298	21.943	23.972	24.048	22.599	21.536	21.365	22.04	23.009	22.676	22.37	21.857	22.211	24.203	25.94	26.777	25.839	22.646	19.856	18.418	20.333	22.86	23.842	24.712	26.388	26.619	24.6	22.469	21.94	20.78	19.527	19.276	18.709	18.206	18.001	18.254	18.047	18.441	16.901	15.831	16.638	15.45	14.763	13.688	7.696	12.293
Barn Island	32000	41.3	-71.9	RSLs	-3844.776	-3751.166	-3639.985	-3523.469	-3427.124	-3352.375	-3291.06	-3226.812	-3160.692	-3102.833	-3046.929	-2992.276	-2944.142	-2899.438	-2844.125	-2777.203	-2722.31	-2690.294	-2662.866	-2624.334	-2580.643	-2539.303	-2492.133	-2425.977	-2354.846	-2286.174	-2216.069	-2159.139	-2119.637	-2080.826	-2039.865	-1991.571	-1940.955	-1897.2	-1844.902	-1786.115	-1732.81	-1678.652	-1618.335	-1565.554	-1520.188	-1471.354	-1416.173	-1349.543	-1267.915	-1170.529	-1055.275	-935.193	-847.932	-798.272	-759.221	-722.803	-685.47	-643.623	-590.065	-534.659	-467.388	-394.936	-322.929	-237.263	-111.635	31.771
Barn Island	32000	41.3	-71.9	SDs	336.388	327.274	319.895	313.586	307.59	301.7	295.788	289.718	283.702	277.587	271.362	265.07	258.825	252.487	246.011	239.783	233.929	228.372	223.032	217.707	212.349	206.899	201.284	195.696	190.29	184.835	179.057	173.528	168.001	162.344	156.512	150.494	144.531	138.375	132.059	125.878	119.631	112.934	105.86	99.491	93.404	86.115	77.101	67.421	58.158	48.316	37.038	25.179	19.207	16.272	17.848	16.966	12.827	13.094	11.846	11.112	10.795	11.299	11.444	9.161	6.428	10.43
East River Marsh	33000	41.3	-72.6	RSLs	-3380.024	-3303.667	-3215.263	-3123.682	-3047.288	-2987.204	-2936.606	-2882.666	-2828.553	-2782.384	-2736.828	-2690.311	-2647.531	-2605.962	-2552.794	-2486.324	-2428.384	-2390.757	-2354.298	-2302.26	-2243.369	-2190.123	-2138.133	-2075.739	-2018.083	-1972.826	-1932.459	-1902.918	-1881.184	-1852.384	-1821.245	-1786.52	-1749.734	-1718.038	-1675.509	-1621.371	-1565.442	-1504.671	-1436.89	-1376.526	-1321.45	-1264.797	-1210.905	-1162.884	-1119.704	-1075.8	-1021.292	-957.698	-909.816	-883.358	-860.155	-840.321	-817.953	-785.51	-737.326	-684.113	-614.297	-528.006	-428.433	-298.796	-128.399	42.665
East River Marsh	33000	41.3	-72.6	SDs	206.543	198.034	191.285	185.414	179.521	173.253	166.345	158.544	149.929	140.232	129.26	116.921	103.222	87.874	70.608	51.98	33.43	20.502	18.043	18.685	19.127	20.641	21.098	19.311	18.983	19.868	19.868	20.838	21.786	22.77	23.795	24.192	24.113	23.828	24.233	26.574	31.126	35.055	37.918	41.798	43.783	42.328	37.389	31.426	27.437	25.547	24.154	23.89	24.595	23.931	23.849	24.104	23.906	23.998	23.032	21.114	18.581	16.284	14.247	12.142	8.262	11.635
Little Manatee River	34000	27.7	-82.5	RSLs	-1340.872	-1307.76	-1270.924	-1233.4	-1201.355	-1175.617	-1151.992	-1124.152	-1099.486	-1083.445	-1067.962	-1051.432	-1039.762	-1034.744	-1032.033	-1031.695	-1044.509	-1073.288	-1101.035	-1107.753	-1100.57	-1091.432	-1075.383	-1044.52	-1010.461	-982.897	-963.768	-956.833	-957.788	-957.59	-954.931	-945.339	-934.395	-930.832	-927.16	-917.836	-906.461	-891.056	-869.787	-847.691	-823.738	-802.246	-789.417	-783.807	-776.881	-770.332	-760.954	-743.817	-719.319	-688.861	-653.54	-613.459	-570.36	-535.958	-503.374	-471.567	-434.53	-387.507	-326.308	-239.575	-112.587	23.192
Little Manatee River	34000	27.7	-82.5	SDs	229.958	220.519	211.642	202.651	193.034	182.47	170.645	157.311	142.308	125.457	106.596	85.813	63.498	41.119	24.013	19.087	16.754	14.469	15.047	18.212	20.165	22.31	21.747	21.065	22.501	25.701	28.435	30.003	26.8	23.38	22.805	26.003	28.498	31.418	31.029	28.566	28.695	31.696	34.99	33.984	32.871	31.208	26.328	23.939	23.478	23.248	23.615	20.293	17.791	18.212	16.371	14.713	13	14.769	15.746	19.066	23.159	21.674	17.28	11.418	7.584	12.494
Cedar Island	35000	35	-76.4	RSLs	-2536.91	-2483.708	-2434.19	-2391.027	-2358.645	-2335.87	-2315.446	-2289.125	-2265.903	-2252.092	-2240.196	-2228.732	-2221.385	-2216.412	-2204.642	-2181.633	-2156.487	-2137.791	-2114.586	-2080.266	-2041.315	-2000.637	-1954.662	-1907.467	-1868.781	-1836.514	-1802.756	-1768.094	-1733.44	-1695.487	-1654.571	-1602.64	-1538.705	-1477.605	-1433.696	-1400.456	-1369.576	-1340.766	-1313.292	-1288.233	-1258.31	-1223.457	-1185.443	-1145.066	-1105.143	-1069.941	-1031.878	-991.242	-948.465	-911.379	-875.952	-829.504	-770.832	-717.945	-671.587	-629.324	-585.793	-534.311	-458.663	-340.584	-163.781	31.073
